//id,carta,propriedade,nvPropriedade,PV,poder,def,raca,sub-raca
//Propriedade: 0- neutro,1- Agua,2- Terra, 3- Fogo, 4- vento ,5- veneno,6- sagrado , 7-sombrio,8-fantasma,9-morto vivo
//raca: 0-humanoide,1-Amorfo,2-Bruto,3-Planta,4-Insceto,5-Peixe,6-Demonio,7-Anjo,8-Dragao,9-morto vivo
1,1,1,1,5,2,0,1,10
2,2,2,3,7,5,0,3,30
3,3,6,1,5,2,0,1,10
4,4,3,1,6,2,0,1,10
5,5,5,1,10,3,0,1,10
6,6,1,2,13,4,0,1,10
7,7,2,1,15,4,1,1,10
8,8,0,1,23,5,1,1,10
9,9,3,2,23,7,0,1,10
10,10,1,1,18,4,0,1,10
11,11,8,4,12,7,0,9,10
12,12,6,3,25,7,0,7,10
13,13,7,4,25,7,0,6,10
14,14,6,3,30,7,0,7,10
15,15,1,1,8,2,0,3,31
16,16,9,1,14,4,0,9,91
17,17,1,2,12,6,0,3,32
18,18,9,1,14,8,0,9,91
19,19,7,1,27,7,0,6,20
20,20,4,3,33,7,0,6,21
21,21,3,3,39,9,0,2,22
22,22,7,2,55,11,1,0,04
23,23,0,3,45,8,0,0,05
24,24,7,1,47,9,0,6,60
25,25,2,1,7,3,0,4,40
26,26,2,1,14,0,1,4,41
27,27,4,1,18,5,0,4,42
28,28,
29,29,
30,30,
